Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
2.30125	18	257	43	FullDelay	0.00124609	1246.09	1	3
2.30224	12	257	7	LastDelay	0.0022431	2243.1	1	3
2.30224	12	257	7	FullDelay	0.0022431	2243.1	1	3
2.45862	12	257	36	LastDelay	0.0586211	58621.1	1	3
2.45862	12	257	36	FullDelay	0.0586211	58621.1	1	3
2.46713	18	257	5	LastDelay	0.0671331	67133.1	1	3
2.46713	18	257	5	FullDelay	0.0671331	67133.1	1	3
2.55863	12	257	45	LastDelay	0.0586301	58630.1	1	3
2.55863	12	257	45	FullDelay	0.0586301	58630.1	1	3
2.56714	18	257	29	LastDelay	0.0671421	67142.1	1	3
2.56714	18	257	29	FullDelay	0.0671421	67142.1	1	3
2.65851	12	257	41	LastDelay	0.0585131	58513.1	1	3
2.65851	12	257	41	FullDelay	0.0585131	58513.1	1	3
2.66703	18	257	9	LastDelay	0.0670251	67025.1	1	3
2.66703	18	257	9	FullDelay	0.0670251	67025.1	1	3
2.75862	18	257	34	LastDelay	0.0586211	58621.1	1	3
2.75862	18	257	34	FullDelay	0.0586211	58621.1	1	3
2.76713	12	257	62	LastDelay	0.0671331	67133.1	1	3
2.76713	12	257	62	FullDelay	0.0671331	67133.1	1	3
2.80175	18	257	43	LastDelay	0.0017491	1749.1	1	3
2.80175	18	257	43	FullDelay	0.0017491	1749.1	1	3
2.85859	12	257	89	LastDelay	0.0585851	58585.1	1	3
2.85859	12	257	89	FullDelay	0.0585851	58585.1	1	3
2.95903	12	257	81	LastDelay	0.0590341	59034.1	1	3
2.95903	12	257	81	FullDelay	0.0590341	59034.1	1	3
2.96755	18	257	38	LastDelay	0.0675461	67546.1	1	3
2.96755	18	257	38	FullDelay	0.0675461	67546.1	1	3
3.00113	12	257	43	LastDelay	0.00112809	1128.09	1	3
3.00113	12	257	43	FullDelay	0.00112809	1128.09	1	3
3.05982	18	257	59	LastDelay	0.0598232	59823.2	1	3
3.05982	18	257	59	FullDelay	0.0598232	59823.2	1	3
3.10122	18	257	9	LastDelay	0.00121809	1218.09	1	3
3.10122	18	257	9	FullDelay	0.00121809	1218.09	1	3
