Time	Node	Type	Packets	
8	255	CacheHits	8
8	255	CacheMisses	2
9	240	CacheHits	0
9	240	CacheMisses	0
9	241	CacheHits	1
9	241	CacheMisses	0
9	242	CacheHits	2
9	242	CacheMisses	0
9	243	CacheHits	0
9	243	CacheMisses	0
9	244	CacheHits	4
9	244	CacheMisses	0
9	245	CacheHits	2
9	245	CacheMisses	0
9	246	CacheHits	2
9	246	CacheMisses	0
9	247	CacheHits	0
9	247	CacheMisses	0
9	248	CacheHits	2
9	248	CacheMisses	0
9	249	CacheHits	1
9	249	CacheMisses	0
9	250	CacheHits	0
9	250	CacheMisses	0
9	251	CacheHits	0
9	251	CacheMisses	0
9	252	CacheHits	5
9	252	CacheMisses	0
9	253	CacheHits	2
9	253	CacheMisses	0
9	254	CacheHits	0
9	254	CacheMisses	0
9	255	CacheHits	0
9	255	CacheMisses	0
10	240	CacheHits	0
10	240	CacheMisses	0
10	241	CacheHits	2
10	241	CacheMisses	0
10	242	CacheHits	3
10	242	CacheMisses	0
10	243	CacheHits	0
10	243	CacheMisses	0
10	244	CacheHits	4
10	244	CacheMisses	0
10	245	CacheHits	1
10	245	CacheMisses	0
10	246	CacheHits	3
10	246	CacheMisses	0
10	247	CacheHits	0
10	247	CacheMisses	0
10	248	CacheHits	0
10	248	CacheMisses	0
10	249	CacheHits	0
10	249	CacheMisses	0
10	250	CacheHits	0
10	250	CacheMisses	0
10	251	CacheHits	0
10	251	CacheMisses	0
10	252	CacheHits	3
10	252	CacheMisses	0
10	253	CacheHits	2
10	253	CacheMisses	0
10	254	CacheHits	0
10	254	CacheMisses	0
10	255	CacheHits	0
10	255	CacheMisses	0
11	240	CacheHits	1
11	240	CacheMisses	0
11	241	CacheHits	5
11	241	CacheMisses	0
11	242	CacheHits	2
11	242	CacheMisses	0
11	243	CacheHits	0
11	243	CacheMisses	0
11	244	CacheHits	2
11	244	CacheMisses	0
11	245	CacheHits	1
11	245	CacheMisses	0
11	246	CacheHits	2
11	246	CacheMisses	0
11	247	CacheHits	0
11	247	CacheMisses	0
11	248	CacheHits	2
11	248	CacheMisses	0
11	249	CacheHits	0
11	249	CacheMisses	0
11	250	CacheHits	0
11	250	CacheMisses	0
11	251	CacheHits	0
11	251	CacheMisses	0
11	252	CacheHits	3
11	252	CacheMisses	0
11	253	CacheHits	3
11	253	CacheMisses	0
11	254	CacheHits	1
11	254	CacheMisses	0
11	255	CacheHits	0
11	255	CacheMisses	0
12	240	CacheHits	2
12	240	CacheMisses	0
12	241	CacheHits	1
12	241	CacheMisses	0
12	242	CacheHits	0
12	242	CacheMisses	0
12	243	CacheHits	0
12	243	CacheMisses	0
12	244	CacheHits	0
12	244	CacheMisses	0
12	245	CacheHits	0
12	245	CacheMisses	0
12	246	CacheHits	0
12	246	CacheMisses	0
12	247	CacheHits	1
12	247	CacheMisses	0
12	248	CacheHits	3
12	248	CacheMisses	0
12	249	CacheHits	1
12	249	CacheMisses	0
12	250	CacheHits	0
12	250	CacheMisses	0
12	251	CacheHits	0
12	251	CacheMisses	0
12	252	CacheHits	2
12	252	CacheMisses	0
12	253	CacheHits	1
12	253	CacheMisses	0
12	254	CacheHits	1
12	254	CacheMisses	0
12	255	CacheHits	0
12	255	CacheMisses	0
13	240	CacheHits	3
13	240	CacheMisses	0
13	241	CacheHits	1
13	241	CacheMisses	0
13	242	CacheHits	0
13	242	CacheMisses	0
13	243	CacheHits	0
13	243	CacheMisses	0
13	244	CacheHits	0
13	244	CacheMisses	0
13	245	CacheHits	0
13	245	CacheMisses	0
13	246	CacheHits	1
13	246	CacheMisses	0
13	247	CacheHits	3
13	247	CacheMisses	0
13	248	CacheHits	2
13	248	CacheMisses	0
13	249	CacheHits	0
13	249	CacheMisses	0
13	250	CacheHits	1
13	250	CacheMisses	0
13	251	CacheHits	0
13	251	CacheMisses	0
13	252	CacheHits	3
13	252	CacheMisses	0
13	253	CacheHits	2
13	253	CacheMisses	0
13	254	CacheHits	0
13	254	CacheMisses	0
13	255	CacheHits	0
13	255	CacheMisses	0
14	240	CacheHits	0
14	240	CacheMisses	0
14	241	CacheHits	3
14	241	CacheMisses	0
14	242	CacheHits	1
14	242	CacheMisses	0
14	243	CacheHits	0
14	243	CacheMisses	0
14	244	CacheHits	0
14	244	CacheMisses	0
14	245	CacheHits	2
14	245	CacheMisses	0
14	246	CacheHits	1
14	246	CacheMisses	0
14	247	CacheHits	4
14	247	CacheMisses	0
14	248	CacheHits	1
14	248	CacheMisses	0
14	249	CacheHits	1
14	249	CacheMisses	0
14	250	CacheHits	1
14	250	CacheMisses	0
14	251	CacheHits	0
14	251	CacheMisses	0
14	252	CacheHits	3
14	252	CacheMisses	0
14	253	CacheHits	3
14	253	CacheMisses	0
14	254	CacheHits	1
14	254	CacheMisses	0
14	255	CacheHits	0
14	255	CacheMisses	0
15	240	CacheHits	6
15	240	CacheMisses	0
15	241	CacheHits	1
15	241	CacheMisses	0
15	242	CacheHits	17
15	242	CacheMisses	0
15	243	CacheHits	3
15	243	CacheMisses	0
15	244	CacheHits	2
15	244	CacheMisses	0
15	245	CacheHits	2
15	245	CacheMisses	0
15	246	CacheHits	0
15	246	CacheMisses	0
15	247	CacheHits	3
15	247	CacheMisses	0
15	248	CacheHits	2
15	248	CacheMisses	0
15	249	CacheHits	0
15	249	CacheMisses	0
15	250	CacheHits	2
15	250	CacheMisses	0
15	251	CacheHits	1
15	251	CacheMisses	0
15	252	CacheHits	12
15	252	CacheMisses	0
15	253	CacheHits	3
15	253	CacheMisses	0
15	254	CacheHits	1
15	254	CacheMisses	0
15	255	CacheHits	0
15	255	CacheMisses	0
16	240	CacheHits	0
16	240	CacheMisses	0
16	241	CacheHits	2
16	241	CacheMisses	0
16	242	CacheHits	1
16	242	CacheMisses	0
16	243	CacheHits	2
16	243	CacheMisses	0
16	244	CacheHits	7
16	244	CacheMisses	0
16	245	CacheHits	1
16	245	CacheMisses	0
16	246	CacheHits	1
16	246	CacheMisses	0
16	247	CacheHits	2
16	247	CacheMisses	0
16	248	CacheHits	0
16	248	CacheMisses	0
16	249	CacheHits	0
16	249	CacheMisses	0
16	250	CacheHits	2
16	250	CacheMisses	0
16	251	CacheHits	0
16	251	CacheMisses	0
16	252	CacheHits	3
16	252	CacheMisses	0
16	253	CacheHits	2
16	253	CacheMisses	0
16	254	CacheHits	1
16	254	CacheMisses	0
16	255	CacheHits	0
16	255	CacheMisses	0
17	240	CacheHits	0
17	240	CacheMisses	0
17	241	CacheHits	0
17	241	CacheMisses	0
17	242	CacheHits	3
17	242	CacheMisses	0
17	243	CacheHits	1
17	243	CacheMisses	0
17	244	CacheHits	0
17	244	CacheMisses	0
17	245	CacheHits	5
17	245	CacheMisses	0
17	246	CacheHits	2
17	246	CacheMisses	0
17	247	CacheHits	0
17	247	CacheMisses	0
17	248	CacheHits	1
17	248	CacheMisses	0
17	249	CacheHits	0
17	249	CacheMisses	0
17	250	CacheHits	0
17	250	CacheMisses	0
17	251	CacheHits	0
17	251	CacheMisses	0
17	252	CacheHits	3
17	252	CacheMisses	0
17	253	CacheHits	2
17	253	CacheMisses	0
17	254	CacheHits	1
17	254	CacheMisses	0
17	255	CacheHits	0
17	255	CacheMisses	0
18	240	CacheHits	0
18	240	CacheMisses	0
18	241	CacheHits	0
18	241	CacheMisses	0
18	242	CacheHits	1
18	242	CacheMisses	0
18	243	CacheHits	0
18	243	CacheMisses	0
18	244	CacheHits	0
18	244	CacheMisses	0
18	245	CacheHits	1
18	245	CacheMisses	0
18	246	CacheHits	1
18	246	CacheMisses	0
18	247	CacheHits	0
18	247	CacheMisses	0
18	248	CacheHits	2
18	248	CacheMisses	0
18	249	CacheHits	0
18	249	CacheMisses	0
18	250	CacheHits	2
18	250	CacheMisses	0
18	251	CacheHits	0
18	251	CacheMisses	0
18	252	CacheHits	4
18	252	CacheMisses	0
18	253	CacheHits	0
18	253	CacheMisses	0
18	254	CacheHits	0
18	254	CacheMisses	0
18	255	CacheHits	0
18	255	CacheMisses	0
19	240	CacheHits	0
19	240	CacheMisses	0
19	241	CacheHits	1
19	241	CacheMisses	0
19	242	CacheHits	1
19	242	CacheMisses	0
19	243	CacheHits	0
19	243	CacheMisses	0
19	244	CacheHits	0
19	244	CacheMisses	0
19	245	CacheHits	0
19	245	CacheMisses	0
19	246	CacheHits	0
19	246	CacheMisses	0
19	247	CacheHits	0
19	247	CacheMisses	0
19	248	CacheHits	0
19	248	CacheMisses	0
19	249	CacheHits	0
19	249	CacheMisses	0
19	250	CacheHits	1
19	250	CacheMisses	0
19	251	CacheHits	0
19	251	CacheMisses	0
19	252	CacheHits	3
19	252	CacheMisses	0
19	253	CacheHits	1
19	253	CacheMisses	0
19	254	CacheHits	0
19	254	CacheMisses	0
19	255	CacheHits	2
19	255	CacheMisses	0
