Time	Node	Type	Packets	
1	240	CacheHits	0
1	240	CacheMisses	100
1	241	CacheHits	7
1	241	CacheMisses	100
1	242	CacheHits	1
1	242	CacheMisses	100
1	243	CacheHits	51
1	243	CacheMisses	100
1	244	CacheHits	37
1	244	CacheMisses	99
1	245	CacheHits	5
1	245	CacheMisses	75
1	246	CacheHits	10
1	246	CacheMisses	75
1	247	CacheHits	7
1	247	CacheMisses	74
1	248	CacheHits	7
1	248	CacheMisses	72
1	249	CacheHits	4
1	249	CacheMisses	67
1	250	CacheHits	1
1	250	CacheMisses	63
1	251	CacheHits	2
1	251	CacheMisses	63
1	252	CacheHits	3
1	252	CacheMisses	63
1	253	CacheHits	7
1	253	CacheMisses	61
1	254	CacheHits	11
1	254	CacheMisses	50
1	255	CacheHits	5
1	255	CacheMisses	32
2	240	CacheHits	0
2	240	CacheMisses	0
2	241	CacheHits	4
2	241	CacheMisses	0
2	242	CacheHits	3
2	242	CacheMisses	0
2	243	CacheHits	69
2	243	CacheMisses	0
2	244	CacheHits	15
2	244	CacheMisses	1
2	245	CacheHits	2
2	245	CacheMisses	21
2	246	CacheHits	10
2	246	CacheMisses	21
2	247	CacheHits	9
2	247	CacheMisses	22
2	248	CacheHits	15
2	248	CacheMisses	24
2	249	CacheHits	7
2	249	CacheMisses	29
2	250	CacheHits	4
2	250	CacheMisses	33
2	251	CacheHits	7
2	251	CacheMisses	33
2	252	CacheHits	9
2	252	CacheMisses	33
2	253	CacheHits	52
2	253	CacheMisses	35
2	254	CacheHits	33
2	254	CacheMisses	38
2	255	CacheHits	26
2	255	CacheMisses	50
3	240	CacheHits	0
3	240	CacheMisses	0
3	241	CacheHits	8
3	241	CacheMisses	0
3	242	CacheHits	0
3	242	CacheMisses	0
3	243	CacheHits	13
3	243	CacheMisses	0
3	244	CacheHits	14
3	244	CacheMisses	0
3	245	CacheHits	3
3	245	CacheMisses	4
3	246	CacheHits	3
3	246	CacheMisses	4
3	247	CacheHits	4
3	247	CacheMisses	4
3	248	CacheHits	8
3	248	CacheMisses	4
3	249	CacheHits	6
3	249	CacheMisses	4
3	250	CacheHits	3
3	250	CacheMisses	4
3	251	CacheHits	45
3	251	CacheMisses	4
3	252	CacheHits	47
3	252	CacheMisses	4
3	253	CacheHits	25
3	253	CacheMisses	4
3	254	CacheHits	11
3	254	CacheMisses	5
3	255	CacheHits	5
3	255	CacheMisses	8
4	240	CacheHits	6
4	240	CacheMisses	0
4	241	CacheHits	6
4	241	CacheMisses	0
4	242	CacheHits	0
4	242	CacheMisses	0
4	243	CacheHits	2
4	243	CacheMisses	0
4	244	CacheHits	18
4	244	CacheMisses	0
4	245	CacheHits	0
4	245	CacheMisses	0
4	246	CacheHits	7
4	246	CacheMisses	0
4	247	CacheHits	3
4	247	CacheMisses	0
4	248	CacheHits	6
4	248	CacheMisses	0
4	249	CacheHits	4
4	249	CacheMisses	0
4	250	CacheHits	1
4	250	CacheMisses	0
4	251	CacheHits	6
4	251	CacheMisses	0
4	252	CacheHits	10
