Time	Node	Type	Packets	
8	255	CacheHits	8
8	255	CacheMisses	6
9	240	CacheHits	16
9	240	CacheMisses	69
9	241	CacheHits	38
9	241	CacheMisses	66
9	242	CacheHits	90
9	242	CacheMisses	75
9	243	CacheHits	31
9	243	CacheMisses	28
9	244	CacheHits	18
9	244	CacheMisses	20
9	245	CacheHits	13
9	245	CacheMisses	15
9	246	CacheHits	8
9	246	CacheMisses	14
9	247	CacheHits	4
9	247	CacheMisses	11
9	248	CacheHits	2
9	248	CacheMisses	10
9	249	CacheHits	0
9	249	CacheMisses	11
9	250	CacheHits	3
9	250	CacheMisses	11
9	251	CacheHits	2
9	251	CacheMisses	10
9	252	CacheHits	19
9	252	CacheMisses	11
9	253	CacheHits	6
9	253	CacheMisses	3
9	254	CacheHits	7
9	254	CacheMisses	4
9	255	CacheHits	5
9	255	CacheMisses	3
10	240	CacheHits	11
10	240	CacheMisses	79
10	241	CacheHits	19
10	241	CacheMisses	84
10	242	CacheHits	80
10	242	CacheMisses	99
10	243	CacheHits	29
10	243	CacheMisses	67
10	244	CacheHits	61
10	244	CacheMisses	65
10	245	CacheHits	9
10	245	CacheMisses	25
10	246	CacheHits	6
10	246	CacheMisses	19
10	247	CacheHits	2
10	247	CacheMisses	22
10	248	CacheHits	5
10	248	CacheMisses	20
10	249	CacheHits	3
10	249	CacheMisses	14
10	250	CacheHits	4
10	250	CacheMisses	15
10	251	CacheHits	37
10	251	CacheMisses	23
10	252	CacheHits	27
10	252	CacheMisses	17
10	253	CacheHits	9
10	253	CacheMisses	16
10	254	CacheHits	4
10	254	CacheMisses	27
10	255	CacheHits	3
10	255	CacheMisses	18
11	240	CacheHits	23
11	240	CacheMisses	108
11	241	CacheHits	18
11	241	CacheMisses	94
11	242	CacheHits	29
11	242	CacheMisses	91
11	243	CacheHits	47
11	243	CacheMisses	95
11	244	CacheHits	43
11	244	CacheMisses	81
11	245	CacheHits	18
11	245	CacheMisses	53
11	246	CacheHits	9
11	246	CacheMisses	48
11	247	CacheHits	8
11	247	CacheMisses	49
11	248	CacheHits	22
11	248	CacheMisses	41
11	249	CacheHits	12
11	249	CacheMisses	32
11	250	CacheHits	7
11	250	CacheMisses	29
11	251	CacheHits	45
11	251	CacheMisses	40
11	252	CacheHits	15
11	252	CacheMisses	15
11	253	CacheHits	11
11	253	CacheMisses	22
11	254	CacheHits	8
11	254	CacheMisses	23
11	255	CacheHits	14
11	255	CacheMisses	12
12	240	CacheHits	60
12	240	CacheMisses	131
12	241	CacheHits	22
12	241	CacheMisses	89
12	242	CacheHits	64
12	242	CacheMisses	95
12	243	CacheHits	46
12	243	CacheMisses	69
12	244	CacheHits	31
12	244	CacheMisses	59
12	245	CacheHits	9
12	245	CacheMisses	30
12	246	CacheHits	10
12	246	CacheMisses	37
12	247	CacheHits	7
12	247	CacheMisses	31
12	248	CacheHits	18
12	248	CacheMisses	28
12	249	CacheHits	8
12	249	CacheMisses	27
12	250	CacheHits	0
12	250	CacheMisses	23
12	251	CacheHits	6
12	251	CacheMisses	23
12	252	CacheHits	24
12	252	CacheMisses	16
12	253	CacheHits	24
12	253	CacheMisses	16
12	254	CacheHits	38
12	254	CacheMisses	18
12	255	CacheHits	21
12	255	CacheMisses	5
13	240	CacheHits	18
13	240	CacheMisses	74
13	241	CacheHits	45
13	241	CacheMisses	91
13	242	CacheHits	20
13	242	CacheMisses	74
13	243	CacheHits	36
13	243	CacheMisses	79
13	244	CacheHits	13
13	244	CacheMisses	46
13	245	CacheHits	1
13	245	CacheMisses	49
13	246	CacheHits	6
13	246	CacheMisses	49
13	247	CacheHits	5
13	247	CacheMisses	50
13	248	CacheHits	31
13	248	CacheMisses	54
13	249	CacheHits	3
13	249	CacheMisses	44
13	250	CacheHits	2
13	250	CacheMisses	41
13	251	CacheHits	5
13	251	CacheMisses	41
13	252	CacheHits	13
13	252	CacheMisses	43
13	253	CacheHits	39
13	253	CacheMisses	46
13	254	CacheHits	64
13	254	CacheMisses	45
13	255	CacheHits	2
13	255	CacheMisses	0
14	240	CacheHits	15
14	240	CacheMisses	105
14	241	CacheHits	15
14	241	CacheMisses	98
14	242	CacheHits	19
14	242	CacheMisses	101
14	243	CacheHits	34
14	243	CacheMisses	109
14	244	CacheHits	1
14	244	CacheMisses	54
14	245	CacheHits	2
14	245	CacheMisses	52
14	246	CacheHits	1
14	246	CacheMisses	51
14	247	CacheHits	1
14	247	CacheMisses	51
14	248	CacheHits	7
14	248	CacheMisses	52
14	249	CacheHits	3
14	249	CacheMisses	56
14	250	CacheHits	2
14	250	CacheMisses	52
14	251	CacheHits	3
14	251	CacheMisses	51
14	252	CacheHits	13
14	252	CacheMisses	49
14	253	CacheHits	42
14	253	CacheMisses	55
14	254	CacheHits	80
14	254	CacheMisses	46
14	255	CacheHits	8
14	255	CacheMisses	0
15	240	CacheHits	11
15	240	CacheMisses	85
15	241	CacheHits	14
15	241	CacheMisses	78
15	242	CacheHits	27
15	242	CacheMisses	79
15	243	CacheHits	5
15	243	CacheMisses	58
15	244	CacheHits	5
