Time	Node	Type	Packets	
1	60	CacheHits	0
1	60	CacheMisses	26
1	61	CacheHits	0
1	61	CacheMisses	9
1	62	CacheHits	0
1	62	CacheMisses	9
1	63	CacheHits	0
1	63	CacheMisses	9
2	60	CacheHits	0
2	60	CacheMisses	19
2	61	CacheHits	0
2	61	CacheMisses	10
2	62	CacheHits	0
2	62	CacheMisses	10
2	63	CacheHits	0
2	63	CacheMisses	10
3	60	CacheHits	0
3	60	CacheMisses	23
3	61	CacheHits	0
3	61	CacheMisses	8
3	62	CacheHits	0
3	62	CacheMisses	8
3	63	CacheHits	0
3	63	CacheMisses	8
4	60	CacheHits	4
4	60	CacheMisses	14
4	61	CacheHits	0
4	61	CacheMisses	4
4	62	CacheHits	0
4	62	CacheMisses	4
4	63	CacheHits	0
4	63	CacheMisses	4
5	60	CacheHits	22
5	60	CacheMisses	19
5	61	CacheHits	0
5	61	CacheMisses	13
5	62	CacheHits	0
5	62	CacheMisses	13
5	63	CacheHits	0
5	63	CacheMisses	3
6	60	CacheHits	19
6	60	CacheMisses	13
6	61	CacheHits	2
6	61	CacheMisses	15
6	62	CacheHits	0
6	62	CacheMisses	13
6	63	CacheHits	0
6	63	CacheMisses	6
7	60	CacheHits	6
7	60	CacheMisses	11
7	61	CacheHits	8
7	61	CacheMisses	6
7	62	CacheHits	0
7	62	CacheMisses	4
7	63	CacheHits	0
7	63	CacheMisses	4
8	60	CacheHits	14
8	60	CacheMisses	7
8	61	CacheHits	2
8	61	CacheMisses	12
8	62	CacheHits	5
8	62	CacheMisses	4
8	63	CacheHits	0
8	63	CacheMisses	9
9	60	CacheHits	11
9	60	CacheMisses	12
9	61	CacheHits	3
9	61	CacheMisses	15
9	62	CacheHits	7
9	62	CacheMisses	8
9	63	CacheHits	0
9	63	CacheMisses	15
10	60	CacheHits	18
10	60	CacheMisses	11
10	61	CacheHits	5
10	61	CacheMisses	17
10	62	CacheHits	0
10	62	CacheMisses	15
10	63	CacheHits	0
10	63	CacheMisses	15
11	60	CacheHits	17
11	60	CacheMisses	6
11	61	CacheHits	14
11	61	CacheMisses	10
11	62	CacheHits	0
11	62	CacheMisses	8
11	63	CacheHits	0
11	63	CacheMisses	8
12	60	CacheHits	4
12	60	CacheMisses	4
12	61	CacheHits	16
12	61	CacheMisses	3
12	62	CacheHits	0
12	62	CacheMisses	1
12	63	CacheHits	0
12	63	CacheMisses	1
13	60	CacheHits	9
13	60	CacheMisses	8
13	61	CacheHits	9
13	61	CacheMisses	7
13	62	CacheHits	0
13	62	CacheMisses	1
13	63	CacheHits	0
13	63	CacheMisses	1
14	60	CacheHits	14
14	60	CacheMisses	38
14	61	CacheHits	28
14	61	CacheMisses	44
14	62	CacheHits	49
14	62	CacheMisses	55
14	63	CacheHits	0
14	63	CacheMisses	8
15	60	CacheHits	3
15	60	CacheMisses	14
15	61	CacheHits	11
15	61	CacheMisses	16
15	62	CacheHits	10
15	62	CacheMisses	18
15	63	CacheHits	0
15	63	CacheMisses	14
16	60	CacheHits	1
16	60	CacheMisses	1
16	61	CacheHits	7
16	61	CacheMisses	2
16	62	CacheHits	3
16	62	CacheMisses	1
16	63	CacheHits	0
16	63	CacheMisses	2
17	60	CacheHits	1
17	60	CacheMisses	3
17	61	CacheHits	0
17	61	CacheMisses	4
17	62	CacheHits	0
17	62	CacheMisses	3
17	63	CacheHits	0
17	63	CacheMisses	3
18	60	CacheHits	7
18	60	CacheMisses	65
18	61	CacheHits	13
18	61	CacheMisses	64
18	62	CacheHits	36
18	62	CacheMisses	74
18	63	CacheHits	0
18	63	CacheMisses	1
19	60	CacheHits	10
19	60	CacheMisses	24
19	61	CacheHits	6
19	61	CacheMisses	25
19	62	CacheHits	12
19	62	CacheMisses	27
19	63	CacheHits	0
19	63	CacheMisses	1
20	60	CacheHits	3
20	60	CacheMisses	16
20	61	CacheHits	2
20	61	CacheMisses	4
20	62	CacheHits	2
20	62	CacheMisses	3
20	63	CacheHits	0
20	63	CacheMisses	1
21	60	CacheHits	5
21	60	CacheMisses	11
21	61	CacheHits	2
21	61	CacheMisses	3
21	62	CacheHits	0
21	62	CacheMisses	2
21	63	CacheHits	0
21	63	CacheMisses	2
22	60	CacheHits	11
22	60	CacheMisses	13
22	61	CacheHits	4
22	61	CacheMisses	13
22	62	CacheHits	2
22	62	CacheMisses	12
22	63	CacheHits	0
22	63	CacheMisses	3
23	60	CacheHits	9
23	60	CacheMisses	6
23	61	CacheHits	9
23	61	CacheMisses	10
23	62	CacheHits	15
23	62	CacheMisses	9
23	63	CacheHits	0
23	63	CacheMisses	0
24	60	CacheHits	11
24	60	CacheMisses	6
24	61	CacheHits	2
24	61	CacheMisses	10
24	62	CacheHits	11
24	62	CacheMisses	12
24	63	CacheHits	0
24	63	CacheMisses	1
25	60	CacheHits	2
25	60	CacheMisses	3
25	61	CacheHits	3
25	61	CacheMisses	5
25	62	CacheHits	11
25	62	CacheMisses	8
25	63	CacheHits	0
25	63	CacheMisses	1
26	60	CacheHits	3
26	60	CacheMisses	2
26	61	CacheHits	1
26	61	CacheMisses	5
26	62	CacheHits	6
26	62	CacheMisses	6
26	63	CacheHits	0
26	63	CacheMisses	0
27	60	CacheHits	1
27	60	CacheMisses	2
27	61	CacheHits	0
27	61	CacheMisses	3
27	62	CacheHits	11
27	62	CacheMisses	3
27	63	CacheHits	0
27	63	CacheMisses	1
28	60	CacheHits	2
28	60	CacheMisses	0
28	61	CacheHits	9
28	61	CacheMisses	2
28	62	CacheHits	6
28	62	CacheMisses	1
28	63	CacheHits	0
28	63	CacheMisses	1
29	60	CacheHits	1
29	60	CacheMisses	2
29	61	CacheHits	6
29	61	CacheMisses	3
29	62	CacheHits	1
29	62	CacheMisses	2
29	63	CacheHits	0
29	63	CacheMisses	1
30	60	CacheHits	0
30	60	CacheMisses	4
30	61	CacheHits	0
30	61	CacheMisses	4
30	62	CacheHits	0
30	62	CacheMisses	4
30	63	CacheHits	0
30	63	CacheMisses	2
31	60	CacheHits	3
31	60	CacheMisses	3
31	61	CacheHits	0
31	61	CacheMisses	3
31	62	CacheHits	1
31	62	CacheMisses	3
31	63	CacheHits	0
31	63	CacheMisses	1
32	60	CacheHits	8
32	60	CacheMisses	3
32	61	CacheHits	0
32	61	CacheMisses	0
32	62	CacheHits	0
32	62	CacheMisses	0
32	63	CacheHits	0
32	63	CacheMisses	0
33	60	CacheHits	9
33	60	CacheMisses	3
33	61	CacheHits	1
33	61	CacheMisses	1
33	62	CacheHits	1
33	62	CacheMisses	2
33	63	CacheHits	0
33	63	CacheMisses	1
34	60	CacheHits	3
34	60	CacheMisses	1
34	61	CacheHits	0
34	61	CacheMisses	1
34	62	CacheHits	2
34	62	CacheMisses	1
34	63	CacheHits	0
34	63	CacheMisses	1
35	60	CacheHits	4
35	60	CacheMisses	2
35	61	CacheHits	0
35	61	CacheMisses	0
35	62	CacheHits	2
35	62	CacheMisses	0
35	63	CacheHits	0
35	63	CacheMisses	0
36	60	CacheHits	7
36	60	CacheMisses	3
36	61	CacheHits	0
36	61	CacheMisses	2
36	62	CacheHits	1
36	62	CacheMisses	2
36	63	CacheHits	0
36	63	CacheMisses	1
37	60	CacheHits	3
37	60	CacheMisses	5
37	61	CacheHits	1
37	61	CacheMisses	3
37	62	CacheHits	9
37	62	CacheMisses	4
37	63	CacheHits	0
37	63	CacheMisses	2
38	60	CacheHits	1
38	60	CacheMisses	1
38	61	CacheHits	1
38	61	CacheMisses	1
38	62	CacheHits	14
38	62	CacheMisses	2
38	63	CacheHits	0
38	63	CacheMisses	1
39	60	CacheHits	0
39	60	CacheMisses	3
39	61	CacheHits	0
39	61	CacheMisses	2
39	62	CacheHits	2
39	62	CacheMisses	2
39	63	CacheHits	0
39	63	CacheMisses	2
40	60	CacheHits	3
40	60	CacheMisses	1
40	61	CacheHits	2
40	61	CacheMisses	3
40	62	CacheHits	1
40	62	CacheMisses	5
40	63	CacheHits	0
40	63	CacheMisses	0
41	60	CacheHits	6
41	60	CacheMisses	3
41	61	CacheHits	2
41	61	CacheMisses	6
41	62	CacheHits	1
41	62	CacheMisses	8
41	63	CacheHits	0
41	63	CacheMisses	2
42	60	CacheHits	4
42	60	CacheMisses	3
42	61	CacheHits	2
42	61	CacheMisses	4
42	62	CacheHits	7
42	62	CacheMisses	6
42	63	CacheHits	0
42	63	CacheMisses	0
43	60	CacheHits	1
43	60	CacheMisses	4
43	61	CacheHits	4
43	61	CacheMisses	4
43	62	CacheHits	6
43	62	CacheMisses	8
43	63	CacheHits	0
43	63	CacheMisses	1
44	60	CacheHits	2
44	60	CacheMisses	9
44	61	CacheHits	3
44	61	CacheMisses	9
44	62	CacheHits	5
44	62	CacheMisses	12
44	63	CacheHits	0
44	63	CacheMisses	0
45	60	CacheHits	5
45	60	CacheMisses	1
45	61	CacheHits	1
45	61	CacheMisses	0
45	62	CacheHits	1
45	62	CacheMisses	1
45	63	CacheHits	0
45	63	CacheMisses	0
46	60	CacheHits	4
46	60	CacheMisses	1
46	61	CacheHits	4
46	61	CacheMisses	1
46	62	CacheHits	0
46	62	CacheMisses	0
46	63	CacheHits	0
46	63	CacheMisses	0
47	60	CacheHits	13
47	60	CacheMisses	4
47	61	CacheHits	9
47	61	CacheMisses	9
47	62	CacheHits	1
47	62	CacheMisses	2
47	63	CacheHits	0
47	63	CacheMisses	0
48	60	CacheHits	11
48	60	CacheMisses	2
48	61	CacheHits	9
48	61	CacheMisses	6
48	62	CacheHits	2
48	62	CacheMisses	0
48	63	CacheHits	0
48	63	CacheMisses	0
49	60	CacheHits	10
49	60	CacheMisses	1
49	61	CacheHits	7
49	61	CacheMisses	9
49	62	CacheHits	5
49	62	CacheMisses	1
49	63	CacheHits	0
49	63	CacheMisses	0
50	60	CacheHits	8
50	60	CacheMisses	2
50	61	CacheHits	4
50	61	CacheMisses	6
50	62	CacheHits	2
50	62	CacheMisses	3
50	63	CacheHits	0
50	63	CacheMisses	0
51	60	CacheHits	1
51	60	CacheMisses	1
51	61	CacheHits	4
51	61	CacheMisses	2
51	62	CacheHits	8
51	62	CacheMisses	5
51	63	CacheHits	0
51	63	CacheMisses	0
52	60	CacheHits	10
52	60	CacheMisses	8
52	61	CacheHits	3
52	61	CacheMisses	7
52	62	CacheHits	7
